nan,4.279585304621087403e+02,4.447350650636141722e+02,4.548693567261460657e+02,4.619330322168503926e+02,4.689127759281012686e+02,4.755906792829111964e+02,4.783943032720676456e+02,4.792034655165564345e+02,4.840158512132608166e+02
nan,7.807629788410356753e+01,6.765839251114414310e+01,6.565956773718443173e+01,6.429759995023547958e+01,6.402293904209645348e+01,6.368275006113465508e+01,6.410286375646306567e+01,6.381617526289124953e+01,6.488454693632314729e+01
nan,nan,6.560686113549240872e+01,5.869712547213232767e+01,5.354097025074436544e+01,5.164010566875074915e+01,5.121868923245332894e+01,5.114302044206675646e+01,5.071525062904257197e+01,5.022185705149036750e+01
nan,nan,nan,5.822676430881223553e+01,5.307086528987584018e+01,5.112290496238908588e+01,4.862235403146046053e+01,4.727665452321311079e+01,4.533661871352074968e+01,4.595206536325326141e+01
nan,nan,nan,nan,5.280349940049541146e+01,5.085551502037407090e+01,4.836961962107497470e+01,4.701803743254914281e+01,4.510233614459390594e+01,4.486396098949987277e+01
nan,nan,nan,nan,nan,5.068561746629637810e+01,4.820978233707375438e+01,4.686078565308922350e+01,4.496844482670253740e+01,4.465972443294057115e+01
nan,nan,nan,nan,nan,nan,4.810727133895747443e+01,4.675294550268743876e+01,4.487560526544641704e+01,4.454724764174203955e+01
nan,nan,nan,nan,nan,nan,nan,nan,4.504226452111220169e+01,4.443993808487362429e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,4.488231760833670592e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
