,0.15,0.264,0.379,0.493,0.607,0.721,0.836,0.95
10,8.01E+03,5.97E+03,5.06E+03,4.55E+03,4.23E+03,3.97E+03,3.83E+03,3.71E+03
22.857,6.06E+03,4.04E+03,3.23E+03,2.78E+03,2.49E+03,2.30E+03,2.14E+03,2.04E+03
35.714,5.56E+03,3.57E+03,2.78E+03,2.34E+03,2.07E+03,1.88E+03,1.74E+03,1.64E+03
48.571,nan,3.38E+03,2.57E+03,2.15E+03,1.88E+03,1.69E+03,1.56E+03,1.45E+03
61.429,nan,3.25E+03,2.47E+03,2.03E+03,1.77E+03,1.58E+03,1.45E+03,1.35E+03
74.286,nan,nan,2.39E+03,1.96E+03,1.70E+03,1.51E+03,1.38E+03,1.28E+03
87.143,nan,nan,2.34E+03,1.91E+03,1.65E+03,1.47E+03,1.33E+03,1.23E+03
100,nan,nan,nan,1.88E+03,1.61E+03,1.43E+03,1.30E+03,1.20E+03
,,,,,,,,
,8.83E+00,6.58E+00,5.58E+00,5.02E+00,4.66E+00,4.38E+00,4.22E+00,4.09E+00
,6.68E+00,4.46E+00,3.56E+00,3.06E+00,2.75E+00,2.53E+00,2.36E+00,2.24E+00
,6.13E+00,3.94E+00,3.06E+00,2.58E+00,2.28E+00,2.08E+00,1.92E+00,1.81E+00
,#VALUE!,3.72E+00,2.84E+00,2.37E+00,2.07E+00,1.87E+00,1.72E+00,1.60E+00
,#VALUE!,3.59E+00,2.72E+00,2.24E+00,1.95E+00,1.75E+00,1.60E+00,1.49E+00
,#VALUE!,#VALUE!,2.64E+00,2.16E+00,1.87E+00,1.67E+00,1.52E+00,1.41E+00
,#VALUE!,#VALUE!,2.58E+00,2.11E+00,1.82E+00,1.62E+00,1.47E+00,1.36E+00
,#VALUE!,#VALUE!,#VALUE!,2.07E+00,1.78E+00,1.58E+00,1.43E+00,1.32E+00
