Stream,Type,Original unit,HXN unit,H_in (kJ),H_out (kJ)
0,Cold,D405 - boiler,Util_0_hs,14666949.49886551,32062391.530092854
1,Cold,D401 - boiler,Util_1_hs,22123826.946939792,43055364.52275874
2,Cold,D402 - boiler,Util_2_hs,23629549.70774423,45249497.4905553
3,Cold,D403 - boiler,HX_9_3_csA,6604455.914732663,10169782.814858586
3,Cold,D403 - boiler,HX_17_3_csA,10169599.754403256,11304415.631396454
3,Cold,D403 - boiler,Util_3_hs,6604455.914732663,30255027.74387668
4,Cold,D404 - boiler,HX_4_18_hs,9849648.508500779,10756056.842193836
4,Cold,D404 - boiler,HX_4_7_hsA,10756030.308581589,10981436.092010347
4,Cold,D404 - boiler,HX_4_11_hsA,10981388.98996661,31643538.709827293
4,Cold,D404 - boiler,Util_4_hs,31653663.025956422,65504297.02128421
5,Cold,F403 - heat exchanger,HX_8_5_cs,6998740.822372195,17607735.995868474
5,Cold,F403 - heat exchanger,HX_9_5_csA,17607735.995868474,18066761.386474427
5,Cold,F403 - heat exchanger,HX_17_5_csA,18066761.386474427,18150785.442828614
5,Cold,F403 - heat exchanger,HX_5_7_hsA,17607735.995868474,114457241.68040118
6,Cold,F401 - heat exchanger,HX_8_6_cs,11697255.89217132,31147188.69322087
6,Cold,F401 - heat exchanger,HX_6_7_hsA,31147188.69322087,39999475.89604864
6,Cold,F401 - heat exchanger,HX_6_15_hsA,39999475.89604864,40246336.73521021
6,Cold,F401 - heat exchanger,Util_6_hs,40246336.73521021,196647196.98003006
7,Hot,F401_H,HX_4_7_hsA,171269219.79599872,171043814.01257
7,Hot,F401_H,HX_5_7_hsA,171043814.01257,74194308.32803777
7,Hot,F401_H,HX_6_7_hsA,74194456.980285,65342169.77745724
7,Hot,F401_H,Util_7_hs,65341553.516489714,19309606.08878199
8,Hot,F403_H,Util_8_hs,108025234.72482812,100074451.79778141
8,Hot,F403_H,HX_8_6_cs,100074451.79778141,80624518.99673173
8,Hot,F403_H,HX_8_5_cs,80624518.0996205,70015522.92612396
8,Hot,F403_H,Util_8_cs,70015559.93633129,14301818.44474405
9,Hot,H301,Util_9_hs,78865565.38037011,61463082.05564679
9,Hot,H301,HX_9_3_csA,61463082.05564679,57897755.155520864
9,Hot,H301,HX_9_5_csA,57897755.155520864,57438729.76491496
9,Hot,H301,Util_9_cs,57438729.76491496,25592222.43303618
10,Hot,D404 - condenser,Util_10_cs,58861508.92182025,16667801.387988579
11,Hot,D402 - condenser,HX_4_11_hsA,30907209.92026904,10245060.200408347
12,Hot,M304_H,Util_12_cs,19777374.960744753,2766641.070417231
13,Hot,D403 - condenser,Util_13_cs,21979738.31565844,5919932.741645316
14,Hot,D401_H,Util_14_cs,12920124.6894933,1727459.184546053
15,Hot,D405_H,HX_6_15_hsA,10499499.17187735,10252638.332715783
15,Hot,D405_H,Util_15_hs,10252639.059562372,1200184.2051353727
16,Hot,D404_H,Util_16_cs,6637448.549047521,1273560.185798864
17,Hot,D401 - condenser,Util_17_hs,17962745.26982568,17333793.067015603
17,Hot,D401 - condenser,HX_17_3_csA,17333793.067015603,16198977.190022435
17,Hot,D401 - condenser,HX_17_5_csA,16198977.190022435,16114953.133668214
17,Hot,D401 - condenser,Util_17_cs,16114738.398462884,13581208.544227455
18,Hot,D402_H,HX_4_18_hs,1297425.9936016258,391017.65990856406
